"","X","Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"34",34,"Schoenoplectus pungens","Schoenoplectus pungens ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,31,1,"wfo-0000528016","urn:lsid:ipni.org:names:1019167-1","263065","Schoenoplectus pungens","species","wfo-4000034542","(Vahl) Palla","Cyperaceae","","",NA,"Schoenoplectus",NA,"pungens","","species","Valid","Bot. Jahrb. Syst. 10: 299 (1888)","Accepted",NA,"wfo-0000543802",NA,"Source in seed data: wcs Update namepublishedIn from Bot. Jahrb. Syst. 10: 299 1888  to Bot. Jahrb. Syst. 10: 299 (1888), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/reco","http://www.theplantlist.org/tpl1.1/record/kew-263065","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-263065",NA,FALSE,"","","",""
"35",35,"Eriophorum virginicum","Eriophorum virginicum ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,32,1,"wfo-0000415188","urn:lsid:ipni.org:names:307421-1","244619","Eriophorum virginicum","species","wfo-4000013860","L.","Cyperaceae","","",NA,"Eriophorum",NA,"virginicum","","species","Valid","Sp. Pl. : 52 (1753)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 52 1753  to Sp. Pl. : 52 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-244619 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-244619","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-244619",NA,FALSE,"","","",""
"36",36,"Eleocharis macrostachya","Eleocharis macrostachya ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,33,1,"wfo-0000404908","urn:lsid:ipni.org:names:89705-2","242616","Eleocharis macrostachya","species","wfo-4000013172","Britton in Small","Cyperaceae","","",NA,"Eleocharis",NA,"macrostachya","","species","Valid","Fl. S.E. U.S. : 184 (1903)","Accepted",NA,"",NA,"Source in seed data: wcs Updated scientificnameAuthorship from Britton to Britton in Small, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-242616 >The Plant List ","http://www.theplantlist.org/tpl1.1/record/kew-242616","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-242616",NA,FALSE,"","","",""
"37",37,"Eleocharis mamillata mamillata","Eleocharis mamillata  mamillata",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,34,1,"wfo-0000404955","urn:lsid:ipni.org:names:306931-1","242624","Eleocharis mamillata","species","wfo-4000013172","(H.Lindb.) H.Lindb.","Cyperaceae","","",NA,"Eleocharis",NA,"mamillata","","species","Valid","Exsicc. (Herb. Norm.) 44: 108 (1902)","Accepted",NA,"wfo-0000540960",NA,"Source in seed data: wcs Update namepublishedIn from Exsicc. (Herb. Norm.) 44: 108 1902  to Exsicc. (Herb. Norm.) 44: 108 (1902), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","http://www.theplantlist.org/tpl1.1/record/kew-242624","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-242624",NA,FALSE,"","","",""
"38",38,"Eleocharis kamtschatica","Eleocharis kamtschatica ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,35,1,"wfo-0000404465","urn:lsid:ipni.org:names:89683-2","242555","Eleocharis kamtschatica","species","wfo-4000013172","Kom.","Cyperaceae","","",NA,"Eleocharis",NA,"kamtschatica","","species","Valid","Fl. Kamtschatka 1: 207 (1927)","Accepted",NA,"wfo-0000539767",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (C.A.Mey.) Kom. to Kom., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-242555 >The Plant List v.1.","http://www.theplantlist.org/tpl1.1/record/kew-242555","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-242555",NA,FALSE,"","","",""
"39",39,"Carex pediformis pediformis","Carex pediformis pediformis",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,11,36,1,"wfo-0000349868","urn:lsid:ipni.org:names:301479-1","229592","Carex pediformis","species","wfo-4000006709","C.A.Mey.","Cyperaceae","","",NA,"Carex",NA,"pediformis","","species","Valid","Mém. Acad. Imp. Sci. St.-Pétersbourg Divers Savans 1: 219 (1831)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Mém. Acad. Imp. Sci. St.-Pétersbourg Divers Savans i. (1831) 219. t. 10.  to Mém. Acad. Imp. Sci. St.-Pétersbourg Divers Savans 1: 219 (1831), information provided by Alan E. on email Jun. 07 2021 ","http://www.theplantlist.org/tpl1.1/record/kew-229592","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-229592",NA,FALSE,"","","",""
"40",40,"Carex ericetorum","Carex ericetorum ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,37,1,"wfo-0000346431","urn:lsid:ipni.org:names:299646-1","226367","Carex ericetorum","species","wfo-4000006709","Pollich","Cyperaceae","","",NA,"Carex",NA,"ericetorum","","species","Valid","Hist. Pl. Palat. 2: 580 (1777)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Hist. Pl. Palat. 2: 580. 1777  to Hist. Pl. Palat. 2: 580 (1777), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/","http://www.theplantlist.org/tpl1.1/record/kew-226367","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-226367",NA,FALSE,"","","",""
"41",41,"Carex petricosa var. misandroides","Carex petricosa var. misandroides ",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,38,1,"wfo-0000349979","urn:lsid:ipni.org:names:46868-2","229696","Carex petricosa  var. misandroides","variety","wfo-0000349976","(Fernald) B.Boivin","Cyperaceae","","",NA,"Carex",NA,"petricosa","misandroides","variety","Valid","Phytologia 43: 83 (1979)","Accepted",NA,"wfo-0000348917",NA,"Source in seed data: wcs Update namepublishedIn from Phytologia 43: 83 1979  to Phytologia 43: 83 (1979), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-229696 >T","http://www.theplantlist.org/tpl1.1/record/kew-229696","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-229696",NA,FALSE,"","","",""
"42",42,"Carex atrosquamea","Carex atrosquamea ",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,39,1,"wfo-0000344744","urn:lsid:ipni.org:names:45821-2","224792","Carex atrosquama","species","wfo-4000006709","Mack.","Cyperaceae","","",NA,"Carex",NA,"atrosquama","","species","Valid","Proc. Biol. Soc. Washington 25: 51 (1912)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Proc. Biol. Soc. Wash. 25: 51 1912  to Proc. Biol. Soc. Washington 25: 51 (1912), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.or","http://www.theplantlist.org/tpl1.1/record/kew-224792","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-224792",NA,FALSE,"","","",""
"43",43,"Carex meyeriana","Carex meyeriana ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,40,1,"wfo-0000348827","urn:lsid:ipni.org:names:300962-1","228615","Carex meyeriana","species","wfo-4000006709","Kunth","Cyperaceae","","",NA,"Carex",NA,"meyeriana","","species","Valid","Enum. Pl. 2: 438 (1837)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Enum. Pl. [Kunth] 2: 438. 1837 [1-6 May 1837]  to Enum. Pl. 2: 438 (1837), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.","http://www.theplantlist.org/tpl1.1/record/kew-228615","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-228615",NA,FALSE,"","","",""
"44",44,"Carex schmidtii","Carex schmidtii ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,41,1,"wfo-0000351057","urn:lsid:ipni.org:names:302133-1","230702","Carex schmidtii","species","wfo-4000006709","Meinsh.","Cyperaceae","","",NA,"Carex",NA,"schmidtii","","species","Valid","Beitr. Kenntn. Russ. Reich. 26: 224 (1871)","Accepted",NA,"wfo-0000348747",NA,"Source in seed data: wcs Update namepublishedIn from Beitr. Kenntn. Russ. Reiches 26: 224. (1871)  to Beitr. Kenntn. Russ. Reich. 26: 224 (1871), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thep","http://www.theplantlist.org/tpl1.1/record/kew-230702","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-230702",NA,FALSE,"","","","Not a synonym"
"46",46,"Carex pseudocuraica","Carex pseudocuraica ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,42,1,"wfo-0000350326","urn:lsid:ipni.org:names:301735-1","230021","Carex pseudocuraica","species","wfo-4000006709","F.Schmidt","Cyperaceae","","",NA,"Carex",NA,"pseudocuraica","","species","Valid","Reis. Amur-Land., Bot. : 67 (1868)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Reis. Amur-Land., Bot. 67. 1868 [Sep-Oct 1868]  to Reis. Amur-Land., Bot. : 67 (1868), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantli","http://www.theplantlist.org/tpl1.1/record/kew-230021","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-230021",NA,FALSE,"","","",""
"48",48,"Carex praecox","Carex praecox ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,43,2,"wfo-0000350207","urn:lsid:ipni.org:names:324495-2","229908","Carex praecox","species","wfo-4000006709","Schreb.","Cyperaceae","","",NA,"Carex",NA,"praecox","","species","Valid","Spic. Fl. Lips. : 63 (1771)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Spic. Fl. Lips. 63 1771  to Spic. Fl. Lips. : 63 (1771), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-22990","http://www.theplantlist.org/tpl1.1/record/kew-229908","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-229908",NA,FALSE,"","","","Not a synonym"
"51",51,"Carex pachystachya","Carex pachystachya ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,44,1,"wfo-0000349651","urn:lsid:ipni.org:names:301393-1","229391","Carex pachystachya","species","wfo-4000006709","Cham. ex Steud.","Cyperaceae","","",NA,"Carex",NA,"pachystachya","","species","Valid","Syn. Pl. Glumac. 2: 197 (1855)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Syn. Pl. Glumac. 2: 197 1855  to Syn. Pl. Glumac. 2: 197 (1855), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/k","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301393-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-229391",NA,FALSE,"","","",""
"52",52,"Avenula pubescens","Avenula pubescens ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,45,1,"wfo-0000852708","urn:lsid:ipni.org:names:392028-1","398317","Avenula pubescens","species","wfo-4000003766","(Huds.) Dumort.","Poaceae","","",NA,"Avenula",NA,"pubescens","","species","Valid","Bull. Soc. Roy. Bot. Belgique 7: 68 (1868)","Accepted",NA,"wfo-0000852192",NA,"Source in seed data: wcs Update namepublishedIn from Bull. Soc. Roy. Bot. Belgique vii. 68 (1868), in adnot.  to Bull. Soc. Roy. Bot. Belgique 7: 68 (1868), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:392028-1","The Poaceae TEN","A","kew-398317",NA,FALSE,"","","",""
"53",53,"Sphenopholis intermedia","Sphenopholis intermedia ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,46,1,"wfo-0000900792","urn:lsid:ipni.org:names:242037-2","443869","Sphenopholis intermedia","species","wfo-4000036049","Rydb.","Poaceae","","",NA,"Sphenopholis",NA,"intermedia","","species","Valid","Bull. Torrey Bot. Club 36: 533 (1909)","Accepted",NA,"wfo-0000865172",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Rydb.) Rydb. to Rydb., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-443869 >The Plant List v.1.1","http://www.theplantlist.org/tpl1.1/record/kew-443869","The Poaceae TEN","A","kew-443869",NA,FALSE,"","","",""
"54",54,"Agrostis alaskana","Agrostis alaskana ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,47,1,"wfo-0000843613","urn:lsid:ipni.org:names:385720-1","389557","Agrostis exarata","species","wfo-4000000996","Trin.","Poaceae","","",NA,"Agrostis",NA,"exarata","","species","Valid","Gram. Unifl. Sesquifl. : 205 (1824)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Gram. Unifl. Sesquifl. 205 1824  to Gram. Unifl. Sesquifl. : 205 (1824), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/","http://www.theplantlist.org/tpl1.1/record/kew-389557","The Poaceae TEN","A","kew-389557",NA,TRUE,"Synonym","wfo-0000843119","Agrostis alaskana",""
"55",55,"Glyceria grandis var. komarovii","Glyceria grandis var. komarovii ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,48,1,"wfo-0000873218","urn:lsid:ipni.org:names:110976-2","417812","Glyceria grandis","species","wfo-4000015842","S.Watson","Poaceae","","",NA,"Glyceria",NA,"grandis","","species","Valid","Manual , ed. 6: 667 (1890)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Manual (Gray), ed. 6. 667. 1890  to Manual , ed. 6: 667 (1890), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ke","http://www.theplantlist.org/tpl1.1/record/kew-417812","The Poaceae TEN","A","kew-417812",NA,TRUE,"Synonym","wfo-0000873220","Glyceria grandis var. komarovii",""
"56",56,"Muhlenbergia glomerata","Muhlenbergia glomerata ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,49,1,"wfo-0000880751","urn:lsid:ipni.org:names:409033-1","425090","Muhlenbergia glomerata","species","wfo-4000024954","Trin.","Poaceae","","",NA,"Muhlenbergia",NA,"glomerata","","species","Valid","Gram. Unifl. Sesquifl. : 191 (1824)","Accepted",NA,"wfo-0000894676",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Willd.) Trin. to Trin., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-425090 >The Plant List v.1.","http://www.theplantlist.org/tpl1.1/record/kew-425090","The Poaceae TEN","A","kew-425090",NA,FALSE,"","","",""
"57",57,"Actaea spicata","Actaea spicata ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,50,1,"wfo-0000519125","urn:lsid:ipni.org:names:303913-2","752949","Actaea spicata","species","wfo-4000000488","L.","Ranunculaceae","","",NA,"Actaea",NA,"spicata","","species","Valid","Sp. Pl. : 504 (1753)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 504 1753  to Sp. Pl. : 504 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2620577 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2620577","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2620577",NA,FALSE,"","","",""
"58",58,"Thalictrum venulosum","Thalictrum venulosum ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,51,1,"wfo-0001129279","urn:lsid:ipni.org:names:250893-2","27100249","Thalictrum venulosum","species","wfo-4000038055","Trel.","Ranunculaceae","","",NA,"Thalictrum",NA,"venulosum","","species","Valid","Proc. Boston Soc. Nat. Hist. 23: 302 (1886)","Accepted",NA,"",NA,"Source in seed data: tro Update namepublishedIn from Proc. Boston Soc. Nat. Hist. 23: 302 1886  to Proc. Boston Soc. Nat. Hist. 23: 302 (1886), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepla","http://www.theplantlist.org/tpl1.1/record/tro-27100249","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-27100249",NA,FALSE,"","","",""
"59",59,"Thalictrum foetidum","Thalictrum foetidum ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,52,1,"wfo-0000454083","urn:lsid:ipni.org:names:714440-1","648968","Thalictrum foetidum","species","wfo-4000038055","L.","Ranunculaceae","","",NA,"Thalictrum",NA,"foetidum","","species","Valid","Sp. Pl. : 545 (1753)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1: 545. 1753 [1 May 1753]  to Sp. Pl. : 545 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-25","http://www.theplantlist.org/tpl1.1/record/kew-2512696","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2512696",NA,FALSE,"","","",""
"60",60,"Anemone ranunculoides jenisseensis","Anemone ranunculoides jenisseensis",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,13,53,1,"wfo-0000535998","urn:lsid:ipni.org:names:13541-2","771002","Anemonoides ranunculoides","species","wfo-4000002057","(L.) Holub","Ranunculaceae","","",NA,"Anemonoides",NA,"ranunculoides","","species","Valid","Folia Geobot. Phytotax. 8: 166 (1973)","Accepted",NA,"wfo-0000535723",NA,"Source in seed data: cmp Update namepublishedIn from Folia Geobot. Phytotax. 8: 166 1973  to Folia Geobot. Phytotax. 8: 166 (1973), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:13541-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2638889",NA,TRUE,"Synonym","wfo-0000535723","Anemone ranunculoides","smallest ID"
"62",62,"Anemone biarmiensis","Anemone biarmiensis ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,54,1,"wfo-0000535003","urn:lsid:ipni.org:names:708179-1","770076","Anemonastrum biarmiense","species","wfo-4000002051","(Juz.) Holub","Ranunculaceae","","",NA,"Anemonastrum",NA,"biarmiense","","species","Valid","Folia Geobot. Phytotax. 12: 428 (1977)","Accepted",NA,"wfo-0000535122",NA,"Source in seed data: cmp Update namepublishedIn from Folia Geobot. Phytotax. 12(4): 428. 1977  to Folia Geobot. Phytotax. 12: 428 (1977), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708179-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2637954",NA,TRUE,"Synonym","wfo-0000535122","Anemone biarmiensis",""
"63",63,"Ranunculus abortivus","Ranunculus abortivus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,55,1,"wfo-0001129250","urn:lsid:ipni.org:names:712111-1","27100133","Ranunculus abortivus","species","wfo-4000032540","L.","Ranunculaceae","","",NA,"Ranunculus",NA,"abortivus","","species","Valid","Sp. Pl. : 551 (1753)","Accepted",NA,"",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 1: 551 1753  to Sp. Pl. : 551 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-27100133 >The Pl","http://www.theplantlist.org/tpl1.1/record/tro-27100133","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-27100133",NA,FALSE,"","","",""
"64",64,"Ranunculus pensylvanicus","Ranunculus pensylvanicus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,56,1,"wfo-0001129265","urn:lsid:ipni.org:names:713481-1","27100204","Ranunculus pensylvanicus","species","wfo-4000032540","L.f.","Ranunculaceae","","",NA,"Ranunculus",NA,"pensylvanicus","","species","Valid","Suppl. Pl. : 272 (1782)","Accepted",NA,"",NA,"Source in seed data: tro Update namepublishedIn from Suppl. Pl. 272 1781  to Suppl. Pl. : 272 (1782), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-27100204 >The","http://www.theplantlist.org/tpl1.1/record/tro-27100204","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-27100204",NA,FALSE,"","","",""
"65",65,"Ranunculus macounii","Ranunculus macounii ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,57,1,"wfo-0001129262","urn:lsid:ipni.org:names:713148-1","27100190","Ranunculus macounii","species","wfo-4000032540","Britton","Ranunculaceae","","",NA,"Ranunculus",NA,"macounii","","species","Valid","Trans. New York Acad. Sci. 12: 2 (1892)","Accepted",NA,"",NA,"Source in seed data: tro Update namepublishedIn from Trans. New York Acad. Sci. 12: 3 1892  to Trans. New York Acad. Sci. 12: 2 (1892), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.o","http://www.theplantlist.org/tpl1.1/record/tro-27100190","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-27100190",NA,FALSE,"","","",""
"66",66,"Corydalis bracteata","Corydalis bracteata ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,58,1,"wfo-0000622112","urn:lsid:ipni.org:names:672095-1","868783","Corydalis bracteata","species","wfo-4000009387","(Stephan ex Willd.) Pers.","Papaveraceae","Fumarioideae","Fumarieae",NA,"Corydalis",NA,"bracteata","","species","Valid","Syn. Pl. 2: 269 (1806)","Accepted",NA,"wfo-0000693157",NA,"Source in seed data: cmp Update namepublishedIn from Syn. Pl. 2: 269 1806  to Syn. Pl. 2: 269 (1806), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2738507 >The ","http://www.theplantlist.org/tpl1.1/record/kew-2738507","The Papaveraceae TEN","A","kew-2738507",NA,FALSE,"","","",""
"67",67,"Corydalis aurea","Corydalis aurea ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,59,1,"wfo-0000622065","urn:lsid:ipni.org:names:66345-2","868738","Corydalis aurea","species","wfo-4000009387","Willd.","Papaveraceae","Fumarioideae","Fumarieae",NA,"Corydalis",NA,"aurea","","species","Valid","Enum. Pl. : 740 (1809)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from Enum. Pl. 740 1809  to Enum. Pl. : 740 (1809), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2738462 >The Pl","http://www.theplantlist.org/tpl1.1/record/kew-2738462","The Papaveraceae TEN","A","kew-2738462",NA,FALSE,"","","",""
"68",68,"Capnoides sempervirens","Capnoides sempervirens ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,60,1,"wfo-0000584372","urn:lsid:ipni.org:names:671943-1","828292","Capnoides sempervirens","species","wfo-4000006598","(L.) Borkh.","Papaveraceae","Fumarioideae","Fumarieae",NA,"Capnoides",NA,"sempervirens","","species","Valid","Arch. Bot. (Leipzig) 1(2): 44 (1797)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from Arch. Bot. [Leipzig] 1(2): 44. 1797 [May-Dec 1797]  to Arch. Bot. (Leipzig) 1(2): 44 (1797), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thep","http://www.theplantlist.org/tpl1.1/record/kew-2696862","The Papaveraceae TEN","A","kew-2696862",NA,FALSE,"","","",""
"70",70,"Drosera intermedia","Drosera intermedia ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,61,2,"wfo-0000945976","urn:lsid:ipni.org:names:84157-2","64392","Drosera intermedia","species","wfo-4000012595","Hayne","Droseraceae","","",NA,"Drosera",NA,"intermedia","","species","Valid","Bot. Bilderb. 3: t. 3, f. B (1798)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Bot. Bilderb. 3: t. 3, fig. B 1798  to Bot. Bilderb. 3: t. 3, f. B (1798), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.","http://www.theplantlist.org/tpl1.1/record/kew-64392","The Caryophyllales Taxonomic Expert Network","A","kew-64392",NA,FALSE,"","","","Not a synonym"
"71",71,"Stellaria holostea","Stellaria holostea ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,62,1,"wfo-0000436323","urn:lsid:ipni.org:names:307758-2","618822","Stellaria holostea","species","wfo-4000036401","L.","Caryophyllaceae","","",NA,"Stellaria",NA,"holostea","","species","Valid","Sp. Pl. : 421 (1753)","Accepted",NA,"",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 421 1753  to Sp. Pl. : 421 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2481934 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2481934","The Caryophyllales Taxonomic Expert Network","A","kew-2481934",NA,FALSE,"","","",""
