"Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"Ranunculus repens L.","Ranunculus repens L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,120,1,"wfo-0000463198","urn:lsid:ipni.org:names:713678-1","662736","Ranunculus repens","species","wfo-4000032540","L.","Ranunculaceae","","",NA,"Ranunculus","","repens","","species","Valid","Sp. Pl. : 554 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 554 1753  to Sp. Pl. : 554 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2526688 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2526688","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2526688","",TRUE,"Synonym","wfo-0001130308","Ranunculus repens var. major",""
"Ranunculus sceleratus subsp. sceleratus L.","Ranunculus sceleratus subsp. sceleratus L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,21,121,1,"wfo-0000463300","urn:lsid:ipni.org:names:713776-1","662854","Ranunculus sceleratus","species","wfo-4000032540","L.","Ranunculaceae","","",NA,"Ranunculus","","sceleratus","","species","Valid","Sp. Pl. : 551 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 551 1753  to Sp. Pl. : 551 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2526806 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2526806","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2526806","",FALSE,"","","",""
"Ranunculus subborealis subsp. villosus","Ranunculus subborealis subsp. villosus (Drabble) Elven",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,122,1,"wfo-0001368298","urn:lsid:ipni.org:names:77099613-1","77099613-1","Ranunculus subborealis subsp. villosus","subspecies","","(Drabble) Elven","Ranunculaceae","","",NA,"Ranunculus","","subborealis","villosus","subspecies","","J. Bot. Res. Inst. Texas 2(1): 438. 2008 [24 Jul 2008]","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"Rhinanthus minor L.","Rhinanthus minor L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,123,1,"wfo-0001400257","urn:lsid:ipni.org:names:77110953-1","77110953-1","Rhinanthus minor var. minor","variety","","Schur","Orobanchaceae","","",NA,"Rhinanthus","","minor","minor","variety","","Enum. Pl. Transsilv. 511. 1866","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"Ribes × pallidum Otto & F. Dietr.","Ribes × pallidum Otto & F. Dietr.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,561,TRUE,FALSE,NA,124,1,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",FALSE,"","","","no match found"
"Rorippa barbareifolia","Rorippa barbareifolia (DC.) Kitag.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,125,1,"wfo-0001216403","urn:lsid:ipni.org:names:222120-2","4100241","Rorippa barbareifolia","species","wfo-4000033475","(DC.) Kitag.","Brassicaceae","","",NA,"Rorippa","","barbareifolia","","species","Valid","J. Jap. Bot. 13: 137 (1937)","Accepted","","wfo-0000582145",NA,"Source in seed data: tro Update namepublishedIn from J. Jap. Bot. 13(2): 137 1937  to J. Jap. Bot. 13: 137 (1937), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-","http://www.theplantlist.org/tpl1.1/record/tro-4100241","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-4100241","",FALSE,"","","",""
"Rorippa palustris subsp. palustris","Rorippa palustris subsp. palustris (L.) Besser",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,126,1,"wfo-0000399555","urn:lsid:ipni.org:names:288669-1","555370","Rorippa palustris","species","wfo-4000033475","Besser","Brassicaceae","","",NA,"Rorippa","","palustris","","species","Valid","Enum. Pl. Volh. : 27 (1821)","Accepted","","wfo-0000734359",NA,"Source in seed data: cmp Updated scientificnameAuthorship from (L.) Besser to Besser, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2417173 >The Plant List v.1.1","http://www.theplantlist.org/tpl1.1/record/kew-2417173","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2417173","",TRUE,"Synonym","wfo-0001217364","Rorippa palustris subsp. palustris",""
"Rubus idaeus subsp. idaeus L.","Rubus idaeus subsp. idaeus L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,127,1,"wfo-0001000827","urn:lsid:ipni.org:names:298089-2","310","Rubus idaeus","species","wfo-4000033581","L.","Rosaceae","","",NA,"Rubus","","idaeus","","species","Valid","Sp. Pl. : 492 (1753)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 492 1753  to Sp. Pl. : 492 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/rjp-310","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-310","",TRUE,"Synonym","wfo-0001006864","Rubus idaeus subsp. idaeus",""
"Rumex acetosa L.","Rumex acetosa L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,11,128,2,"wfo-0000400074","urn:lsid:ipni.org:names:224511-2","556408","Rumex thyrsiflorus","species","wfo-4000033616","Fingerh.","Polygonaceae","","",NA,"Rumex","","thyrsiflorus","","species","Valid","Linnaea 4: 380 (1829)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Linnaea 4: 380 1829  to Linnaea 4: 380 (1829), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2418220 >The Pl","http://www.theplantlist.org/tpl1.1/record/kew-2418220","The Caryophyllales Taxonomic Expert Network","A","kew-2418220","",TRUE,"Synonym","wfo-0001234572","Rumex acetosa var. crispus","smallest ID"
"Rumex acetosella L.","Rumex acetosella L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,12,129,1,"wfo-0000403586","urn:lsid:ipni.org:names:145048-3","562279","Rumex acetosella","species","wfo-4000033616","L.","Polygonaceae","","",NA,"Rumex","","acetosella","","species","Valid","Species Plantarum 2  1753","Accepted","","",NA,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. 538 1753  to Species Plantarum 2  1753 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2424185 >The","http://www.theplantlist.org/tpl1.1/record/kew-2424185","The Caryophyllales Taxonomic Expert Network","A","kew-2424185","",TRUE,"Synonym","wfo-0000406393","Rumex acetosella var. vulgaris","smallest ID"
"Rumex aquaticus L.","Rumex aquaticus L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,15,130,1,"wfo-0000406392","urn:lsid:ipni.org:names:60435397-2","567954","Rumex aquaticus  subsp. arcticus","subspecies","wfo-0000403540","(Trautv.) Hiitonen","Polygonaceae","","",NA,"Rumex","","aquaticus","arcticus","subspecies","Valid","Suom. Kasvio : 297 (1933)","Accepted","","wfo-0000403567",NA,"Source in seed data: cmp Update namepublishedIn from Suom. Kasvio 297 1933  to Suom. Kasvio : 297 (1933), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2429971 >","http://www.theplantlist.org/tpl1.1/record/kew-2429971","The Caryophyllales Taxonomic Expert Network","A","kew-2429971","",FALSE,"","","","Not a synonym"
"Rumex confertus Willd.","Rumex confertus Willd.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,131,1,"wfo-0000403630","urn:lsid:ipni.org:names:697000-1","562337","Rumex confertus","species","wfo-4000033616","Willd.","Polygonaceae","","",NA,"Rumex","","confertus","","species","Valid","Enum. Pl. : 397 (1809)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Enum. Pl. 397 1809  to Enum. Pl. : 397 (1809), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2424243 >The Pl","http://www.theplantlist.org/tpl1.1/record/kew-2424243","The Caryophyllales Taxonomic Expert Network","A","kew-2424243","",FALSE,"","","",""
"Rumex crispus L.","Rumex crispus L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,12,132,1,"wfo-0000400136","urn:lsid:ipni.org:names:697523-1","556504","Rumex stenophyllus","species","wfo-4000033616","Ledeb.","Polygonaceae","","",NA,"Rumex","","stenophyllus","","species","Valid","Fl. Altaic. 2: 58 (1830)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Altaic. 2: 58 1830  to Fl. Altaic. 2: 58 (1830), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2418316 >","http://www.theplantlist.org/tpl1.1/record/kew-2418316","The Caryophyllales Taxonomic Expert Network","A","kew-2418316","",TRUE,"Synonym","wfo-0001234587","Rumex crispus var. dentatus",""
"Rumex longifolius DC.","Rumex longifolius DC.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,133,1,"wfo-0000406392","urn:lsid:ipni.org:names:60435397-2","567954","Rumex aquaticus  subsp. arcticus","subspecies","wfo-0000403540","(Trautv.) Hiitonen","Polygonaceae","","",NA,"Rumex","","aquaticus","arcticus","subspecies","Valid","Suom. Kasvio : 297 (1933)","Accepted","","wfo-0000403567",NA,"Source in seed data: cmp Update namepublishedIn from Suom. Kasvio 297 1933  to Suom. Kasvio : 297 (1933), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2429971 >","http://www.theplantlist.org/tpl1.1/record/kew-2429971","The Caryophyllales Taxonomic Expert Network","A","kew-2429971","",TRUE,"Synonym","wfo-0001242314","Rumex longifolius var. nanus",""
"Sagina procumbens L.","Sagina procumbens L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,12,134,1,"wfo-0000438492","urn:lsid:ipni.org:names:302082-2","622067","Sagina procumbens","species","wfo-4000033779","L.","Caryophyllaceae","","",NA,"Sagina","","procumbens","","species","Valid","Sp. Pl. : 128 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 128 1753  to Sp. Pl. : 128 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2485289 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2485289","The Caryophyllales Taxonomic Expert Network","A","kew-2485289","",TRUE,"Synonym","wfo-0001291844","Sagina procumbens var. compacta",""
"Salix alaxensis","Salix alaxensis (Anderss.) Coville",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,135,1,"wfo-0000929086","urn:lsid:ipni.org:names:225567-2","1033316","Salix alaxensis","species","wfo-4000033844","Coville","Salicaceae","","",NA,"Salix","","alaxensis","","species","Valid","Proc. Wash. Acad. Sci. 2: 280 (1900)","Accepted","","",NA,"Source in seed data: cmp Updated scientificnameAuthorship from (Andersson) Coville to Coville, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-5001523 >The Plant L","http://www.theplantlist.org/tpl1.1/record/kew-5001523","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-5001523","",FALSE,"","","",""
"Salix myrsinifolia subsp. borealis","Salix myrsinifolia subsp. borealis (Flod.) A.K.Skvortsov",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,136,1,"wfo-1200009795","urn:lsid:ipni.org:names:77201629-1","","Salix myrsinifolia subsp. borealis","subspecies","","(Fr.) Hyl.","Salicaceae","","",NA,"Salix","","myrsinifolia","borealis","subspecies","","Nordisk Karlvaxtfl. 2: 387. 1966","Unchecked","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"Sanguisorba alpina Bunge","Sanguisorba alpina Bunge",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,137,1,"wfo-0001015999","urn:lsid:ipni.org:names:741331-1","6599","Sanguisorba alpina","species","wfo-4000033941","Bunge","Rosaceae","","",NA,"Sanguisorba","","alpina","","species","Valid","Fl. Altaic. 1: 142 (1829)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from in Ledeb. Fl. Alt. i. 142.  to Fl. Altaic. 1: 142 (1829), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-6599","http://www.theplantlist.org/tpl1.1/record/rjp-6599","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-6599","",FALSE,"","","",""
"Schedonorus pratensis","Schedonorus pratensis (Huds.) P. Beauv.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,138,1,"wfo-0000878460","urn:lsid:ipni.org:names:1138205-2","422867","Lolium pratense","species","wfo-4000022095","(Huds.) Darbysh.","Poaceae","","",NA,"Lolium","","pratense","","species","Valid","Novon 3: 242 (1993)","Accepted","","wfo-0000871673",NA,"Source in seed data: wcs Update namepublishedIn from Novon 3: 242. 1993  to Novon 3: 242 (1993), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-422867 >The Plant ","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1138205-2","The Poaceae TEN","A","kew-422867","",TRUE,"Synonym","wfo-0000897963","Schedonorus pratensis",""
"Scorzoneroides autumnalis Moench","Scorzoneroides autumnalis Moench",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,139,1,"wfo-0000022256","urn:lsid:ipni.org:names:243480-1","GCC-7C5AD615-6F2C-427D-9C9C-C9F69D0F5EA0","Scorzoneroides autumnalis","species","wfo-4000034833","(L.) Moench","Asteraceae","","",NA,"Scorzoneroides","","autumnalis","","species","Valid","Methodus : 549 (1794)","Accepted","","wfo-0000024940",NA,"Source in seed data: gcc Update namepublishedIn from Methodus (Moench) 549. 1794 [4 May 1794]  to Methodus : 549 (1794), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/recor","http://www.theplantlist.org/tpl1.1/record/gcc-121516","The Asteraceaae TEN","A","gcc-121516","",FALSE,"","","",""
"Senecio pseudoarnica Less.","Senecio pseudoarnica Less.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,140,1,"wfo-0001335954","urn:lsid:ipni.org:names:77128997-1","77128997-1","Jacobaea pseudoarnica","species","wfo-4000019438","(Less.) Zuev","Asteraceae","","",NA,"Jacobaea","","pseudoarnica","","species","Valid","Konspekt Fl. Aziatsk. Rossii : 333 (2012)","Accepted","","",NA,"Source in seed data: ipni Update namepublishedIn from Konspekt Fl. Aziatsk. Rossii 333. 2012 [after 15 Oct 2012]  to Konspekt Fl. Aziatsk. Rossii : 333 (2012), information provided by Alan E. on email Jun. 07 2021","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77128997-1","The Asteraceaae TEN","A","","",TRUE,"Synonym","wfo-0000009426","Senecio pseudoarnica",""
"Senecio viscosus L.","Senecio viscosus L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,3,141,2,"wfo-0000095374","urn:lsid:ipni.org:names:248231-1","GCC-D012C7B2-69E1-45EC-A440-5F9841D6FB19","Senecio viscosus","species","wfo-4000035060","L.","Asteraceae","","",NA,"Senecio","","viscosus","","species","Valid","Sp. Pl. : 868 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 2: 868. 1753 [1 May 1753]  to Sp. Pl. : 868 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-51","http://www.theplantlist.org/tpl1.1/record/gcc-51556","The Asteraceaae TEN","A","gcc-51556","",FALSE,"","","","Not a synonym"
"Senecio vulgaris L.","Senecio vulgaris L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,142,1,"wfo-0000137259","urn:lsid:ipni.org:names:907702-1","GCC-2D1DA8BB-441E-4C95-8617-95092C095457","Senecio dubitabilis","species","wfo-4000035060","C.Jeffrey & Y.L.Chen","Asteraceae","","",NA,"Senecio","","dubitabilis","","species","Valid","Kew Bull. 39(2): 427 (1984)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Kew Bull. 39(2): 427. 1984 [13 Jul 1984]  to Kew Bull. 39(2): 427 (1984), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1","http://www.theplantlist.org/tpl1.1/record/gcc-97947","The Asteraceaae TEN","A","gcc-97947","",TRUE,"Synonym","wfo-0000100609","Senecio vulgaris var. dubius",""
"Silene dioica subsp. dioica","Silene dioica subsp. dioica (L.) Clairv.",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,14,143,1,"wfo-0000440478","urn:lsid:ipni.org:names:157239-1","624975","Silene dioica","species","wfo-4000035363","(L.) Clairv.","Caryophyllaceae","","",NA,"Silene","","dioica","","species","Valid","Man. Herbor. Suisse : 146 (1811)","Accepted","","wfo-0000360004",NA,"Source in seed data: cmp Update namepublishedIn from Man. Herbor. Suisse 146 1811  to Man. Herbor. Suisse : 146 (1811), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record","http://www.theplantlist.org/tpl1.1/record/kew-2488209","The Caryophyllales Taxonomic Expert Network","A","kew-2488209","",FALSE,"","","",""
"Silene latifolia subsp. alba","Silene latifolia subsp. alba (Miller) Greuter & Burdet",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,144,1,"wfo-0000440845","urn:lsid:ipni.org:names:921549-1","625456","Silene latifolia  subsp. alba","subspecies","wfo-0000440842","(Mill.) Greuter & Burdet","Caryophyllaceae","","",NA,"Silene","","latifolia","alba","subspecies","Valid","Willdenowia 12: 189 (1982)","Accepted","","wfo-0000359888",NA,"Source in seed data: cmp Update namepublishedIn from Willdenowia 12: 189 1982  to Willdenowia 12: 189 (1982), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-24886","http://www.theplantlist.org/tpl1.1/record/kew-2488692","The Caryophyllales Taxonomic Expert Network","A","kew-2488692","",FALSE,"","","",""
"Silene vulgaris subsp. vulgaris","Silene vulgaris subsp. vulgaris (Moench) Garcke",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,145,1,"wfo-0000440200","urn:lsid:ipni.org:names:158668-1","624606","Silene vulgaris","species","wfo-4000035363","(Moench) Garcke","Caryophyllaceae","","",NA,"Silene","","vulgaris","","species","Valid","Fl. N. Mitt.-Deutschland , ed. 9: 64 (1869)","Accepted","","wfo-0000561771",NA,"Source in seed data: cmp Update namepublishedIn from Fl. N. Mitt.-Deutschland ed. 9: 64 1869  to Fl. N. Mitt.-Deutschland , ed. 9: 64 (1869), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplant","http://www.theplantlist.org/tpl1.1/record/kew-2487840","The Caryophyllales Taxonomic Expert Network","A","kew-2487840","",TRUE,"Synonym","wfo-0001291697","Silene vulgaris subsp. vulgaris",""
"Sinapis arvensis L.","Sinapis arvensis L.",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,12,146,1,"wfo-0000432651","urn:lsid:ipni.org:names:288960-1","613323","Sinapis arvensis","species","wfo-4000035420","L.","Brassicaceae","","",NA,"Sinapis","","arvensis","","species","Valid","Sp. Pl. : 668 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 668 1753  to Sp. Pl. : 668 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2476411 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2476411","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2476411","",TRUE,"Synonym","wfo-0000442242","Sinapis arvensis f. orientalis","smallest ID"
"Sisyrinchium montanum Greene","Sisyrinchium montanum Greene",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,147,1,"wfo-0000786519","urn:lsid:ipni.org:names:441187-1","325079","Sisyrinchium montanum","species","wfo-4000035553","Greene","Iridaceae","","",NA,"Sisyrinchium","","montanum","","species","Valid","Pittonia 4: 33 (1899)","Accepted","","",NA,"Source in seed data: iplants Update namepublishedIn from Pittonia 4(20): 33. 1899 [17 Mar 1899]  to Pittonia 4: 33 (1899), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec","http://www.theplantlist.org/tpl1.1/record/kew-325079","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-325079","",FALSE,"","","",""
"Sonchus arvensis L.","Sonchus arvensis L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,148,1,"wfo-0001377951","urn:lsid:ipni.org:names:240665-2","240665-2","Sonchus arvensis var. nanus","variety","","Phil.","Asteraceae","","",NA,"Sonchus","","arvensis","nanus","variety","","Anales Univ. Chile 87: 326 (1894)","Unchecked","","",NA,"Source in seed data: ipni Update namepublishedIn from Anales Univ. Chile 87: 326. 1894  to Anales Univ. Chile 87: 326 (1894), information provided by Alan E. on email Jun. 07 2021","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:240665-2","The Asteraceaae TEN","A","","",FALSE,"","","",""
"Sonchus oleraceus L.","Sonchus oleraceus L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,149,1,"wfo-0000069236","urn:lsid:ipni.org:names:250268-1","GCC-214E5882-A24D-421C-B70B-3033D38E17EB","Sonchus oleraceus","species","wfo-4000035760","L.","Asteraceae","","",NA,"Sonchus","","oleraceus","","species","Valid","Sp. Pl. : 794 (1753)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 794 1753  to Sp. Pl. : 794 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-26069 >The Plant Li","http://www.theplantlist.org/tpl1.1/record/gcc-26069","The Asteraceaae TEN","A","gcc-26069","",TRUE,"Synonym","wfo-0000093326","Sonchus oleraceus var. asper",""
"Spergularia rubra","Spergularia rubra (L.) J. Presl & C. Presl",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,150,1,"wfo-0000436420","urn:lsid:ipni.org:names:158983-1","618974","Spergularia rubra","species","wfo-4000035930","J.Presl & C.Presl","Caryophyllaceae","","",NA,"Spergularia","","rubra","","species","Valid","Fl. Cech. : 94 (1819)","Accepted","","wfo-0000546588",NA,"Source in seed data: cmp Updated scientificnameAuthorship from (L.) J.Presl & C.Presl to J.Presl & C.Presl, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2482087","http://www.theplantlist.org/tpl1.1/record/kew-2482087","The Caryophyllales Taxonomic Expert Network","A","kew-2482087","",FALSE,"","","",""
"Sphallerocarpus gracilis","Sphallerocarpus gracilis (Besser ex Trevir.) Koso-Pol.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,151,1,"wfo-0000434795","urn:lsid:ipni.org:names:849160-1","616550","Sphallerocarpus gracilis","species","wfo-4000036024","Koso-Pol.","Apiaceae","","",NA,"Sphallerocarpus","","gracilis","","species","Valid","Bull. Soc. Imp. Naturalistes Moscou , n.s., 29: 202 (1915 publ. 1916)","Accepted","","wfo-0000599006",NA,"Source in seed data: cmp Updated scientificnameAuthorship from (Besser ex Trevir.) Koso-Pol. to Koso-Pol., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2479648 ","http://www.theplantlist.org/tpl1.1/record/kew-2479648","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2479648","",FALSE,"","","",""
"Stellaria graminea L.","Stellaria graminea L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,152,1,"wfo-0000436380","urn:lsid:ipni.org:names:156675-3","618919","Stellaria graminea","species","wfo-4000036401","L.","Caryophyllaceae","","",NA,"Stellaria","","graminea","","species","Valid","Species Plantarum 2  1753","Accepted","","",NA,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. 421 1753  to Species Plantarum 2  1753 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2482031 >The","http://www.theplantlist.org/tpl1.1/record/kew-2482031","The Caryophyllales Taxonomic Expert Network","A","kew-2482031","",FALSE,"","","",""
"Stellaria media","Stellaria media (L.) Vill.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,153,1,"wfo-0000436325","urn:lsid:ipni.org:names:30072255-2","618826","Stellaria media","species","wfo-4000036401","(L.) Vill.","Caryophyllaceae","","",NA,"Stellaria","","media","","species","Valid","Hist. Pl. Dauphiné (Villars) 3(2): 615. 1789 [12 Sep-22 Oct 1789]","Accepted","","wfo-0000527832",NA,"Source in seed data: cmp Updated namepublishedIn from Hist. Pl. Dauphiné 3: 615 1789  to Hist. Pl. Dauphiné (Villars) 3(2): 615. 1789 [12 Sep-22 Oct 1789] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=ht","http://www.theplantlist.org/tpl1.1/record/kew-2481938","The Caryophyllales Taxonomic Expert Network","A","kew-2481938","",FALSE,"","","",""
